year,state_abbr,state_name,population
1981,WY,     Wyoming,492000
1982,AK,     Alaska,438000
1982,AL,     Alabama,3943000
1982,AR,     Arkansas,2291000
1982,AZ,     Arizona,2860000
1982,CA,     California,24724000
1982,CO,     Colorado,3045000
1982,CT,     Connecticut,3153000
1982,DC,     District of Columbia,631000
1982,DE,     Delaware,602000
1982,FL,     Florida,10416000
1982,GA,     Georgia,5639000
1982,HI,     Hawaii,994000
1982,IA,     Iowa,2905000
1982,ID,     Idaho,965000
1982,IL,     Illinois,11448000
1982,IN,     Indiana,5471000
1982,KS,     Kansas,2408000
1982,KY,     Kentucky,3667000
1982,LA,     Louisiana,4362000
1982,MA,     Massachusetts,5781000
1982,MD,     Maryland,4265000
1982,ME,     Maine,1133000
1982,MI,     Michigan,9109000
1982,MN,     Minnesota,4133000
1982,MO,     Missouri,4951000
1982,MS,     Mississippi,2551000
1982,MT,     Montana,801000
1982,NC,     North Carolina,6019000
1982,ND,     North Dakota,670000
1982,NE,     Nebraska,1586000
1982,NH,     New Hampshire,951000
1982,NJ,     New Jersey,7438000
1982,NM,     New Mexico,1359000
1982,NV,     Nevada,881000
1982,NY,     New York,17659000
1982,OH,     Ohio,10791000
1982,OK,     Oklahoma,3177000
1982,OR,     Oregon,2649000
1982,PA,     Pennsylvania,11865000
1982,RI,     Rhode Island,958000
1982,SC,     South Carolina,3203000
1982,SD,     South Dakota,691000
1982,TN,     Tennessee,4651000
1982,TX,     Texas,15280000
1982,UT,     Utah,1554000
1982,VA,     Virginia,5491000
1982,VT,     Vermont,516000
1982,WA,     Washington,4245000
1982,WI,     Wisconsin,4765000
1982,WV,     West Virginia,1948000
1982,WY,     Wyoming,502000
1983,AK,     Alaska,479000
1983,AL,     Alabama,3959000
1983,AR,     Arkansas,2328000
1983,AZ,     Arizona,2963000
1983,CA,     California,25174000
1983,CO,     Colorado,3139000
1983,CT,     Connecticut,3138000
1983,DC,     District of Columbia,623000
1983,DE,     Delaware,606000
1983,FL,     Florida,10680000
1983,GA,     Georgia,5732000
1983,HI,     Hawaii,1023000
1983,IA,     Iowa,2905000
1983,ID,     Idaho,989000
1983,IL,     Illinois,11486000
1983,IN,     Indiana,5479000
1983,KS,     Kansas,2425000
1983,KY,     Kentucky,3714000
1983,LA,     Louisiana,4438000
1983,MA,     Massachusetts,5767000
1983,MD,     Maryland,4304000
1983,ME,     Maine,1146000
1983,MI,     Michigan,9069000
1983,MN,     Minnesota,4144000
1983,MO,     Missouri,4970000
1983,MS,     Mississippi,2587000
1983,MT,     Montana,817000
1983,NC,     North Carolina,6082000
1983,ND,     North Dakota,680000
1983,NE,     Nebraska,1597000
1983,NH,     New Hampshire,959000
1983,NJ,     New Jersey,7468000
1983,NM,     New Mexico,1399000
1983,NV,     Nevada,891000
1983,NY,     New York,17667000
1983,OH,     Ohio,10746000
1983,OK,     Oklahoma,3298000
1983,OR,     Oregon,2662000
1983,PA,     Pennsylvania,11895000
1983,RI,     Rhode Island,955000
1983,SC,     South Carolina,3264000
1983,SD,     South Dakota,700000
1983,TN,     Tennessee,4685000
1983,TX,     Texas,15724000
1983,UT,     Utah,1619000
1983,VA,     Virginia,5550000
1983,VT,     Vermont,525000
1983,WA,     Washington,4300000
1983,WI,     Wisconsin,4751000
1983,WV,     West Virginia,1965000
1983,WY,     Wyoming,514000
1984,AK,     Alaska,500000
1984,AL,     Alabama,3990000
1984,AR,     Arkansas,2349000
1984,AZ,     Arizona,3053000
1984,CA,     California,25622000
1984,CO,     Colorado,3178000
1984,CT,     Connecticut,3154000
1984,DC,     District of Columbia,623000
1984,DE,     Delaware,613000
1984,FL,     Florida,10976000
1984,GA,     Georgia,5837000
1984,HI,     Hawaii,1039000
1984,IA,     Iowa,2910000
1984,ID,     Idaho,1001000
1984,IL,     Illinois,11511000
1984,IN,     Indiana,5498000
1984,KS,     Kansas,2438000
1984,KY,     Kentucky,3723000
1984,LA,     Louisiana,4462000
1984,MA,     Massachusetts,5798000
1984,MD,     Maryland,4349000
1984,ME,     Maine,1156000
1984,MI,     Michigan,9075000
1984,MN,     Minnesota,4162000
1984,MO,     Missouri,5008000
1984,MS,     Mississippi,2598000
1984,MT,     Montana,824000
1984,NC,     North Carolina,6165000
1984,ND,     North Dakota,686000
1984,NE,     Nebraska,1606000
1984,NH,     New Hampshire,977000
1984,NJ,     New Jersey,7515000
1984,NM,     New Mexico,1424000
1984,NV,     Nevada,911000
1984,NY,     New York,17735000
1984,OH,     Ohio,10752000
1984,OK,     Oklahoma,3298000
1984,OR,     Oregon,2674000
1984,PA,     Pennsylvania,11901000
1984,RI,     Rhode Island,962000
1984,SC,     South Carolina,3300000
1984,SD,     South Dakota,706000
1984,TN,     Tennessee,4717000
1984,TX,     Texas,15989000
1984,UT,     Utah,1652000
1984,VA,     Virginia,5636000
1984,VT,     Vermont,530000
1984,WA,     Washington,4349000
1984,WI,     Wisconsin,4766000
1984,WV,     West Virginia,1952000
1984,WY,     Wyoming,511000
1985,AK,     Alaska,521000
1985,AL,     Alabama,4021000
1985,AR,     Arkansas,2359000
1985,AZ,     Arizona,3187000
1985,CA,     California,26365000
1985,CO,     Colorado,3231000
1985,CT,     Connecticut,3174000
1985,DC,     District of Columbia,626000
1985,DE,     Delaware,622000
1985,FL,     Florida,11366000
1985,GA,     Georgia,5976000
1985,HI,     Hawaii,1054000
1985,IA,     Iowa,2884000
1985,ID,     Idaho,1005000
1985,IL,     Illinois,11535000
1985,IN,     Indiana,5499000
1985,KS,     Kansas,2450000
1985,KY,     Kentucky,3726000
1985,LA,     Louisiana,4481000
1985,MA,     Massachusetts,5822000
1985,MD,     Maryland,4392000
1985,ME,     Maine,1164000
1985,MI,     Michigan,9088000
1985,MN,     Minnesota,4193000
1985,MO,     Missouri,5029000
1985,MS,     Mississippi,2613000
1985,MT,     Montana,826000
1985,NC,     North Carolina,6255000
1985,ND,     North Dakota,685000
1985,NE,     Nebraska,1606000
1985,NH,     New Hampshire,998000
1985,NJ,     New Jersey,7562000
1985,NM,     New Mexico,1450000
1985,NV,     Nevada,936000
1985,NY,     New York,17783000
1985,OH,     Ohio,10744000
1985,OK,     Oklahoma,3301000
1985,OR,     Oregon,2687000
1985,PA,     Pennsylvania,11853000
1985,RI,     Rhode Island,968000
1985,SC,     South Carolina,3347000
1985,SD,     South Dakota,708000
1985,TN,     Tennessee,4762000
1985,TX,     Texas,16370000
1985,UT,     Utah,1645000
1985,VA,     Virginia,5706000
1985,VT,     Vermont,535000
1985,WA,     Washington,4409000
1985,WI,     Wisconsin,4775000
1985,WV,     West Virginia,1936000
1985,WY,     Wyoming,509000
1986,AK,     Alaska,534000
1986,AL,     Alabama,4053000
1986,AR,     Arkansas,2372000
1986,AZ,     Arizona,3317000
1986,CA,     California,26981000
1986,CO,     Colorado,3267000
1986,CT,     Connecticut,3189000
1986,DC,     District of Columbia,626000
1986,DE,     Delaware,633000
1986,FL,     Florida,11675000
1986,GA,     Georgia,6104000
1986,HI,     Hawaii,1062000
1986,IA,     Iowa,2851000
1986,ID,     Idaho,1003000
1986,IL,     Illinois,11533000
1986,IN,     Indiana,5504000
1986,KS,     Kansas,2461000
1986,KY,     Kentucky,3728000
1986,LA,     Louisiana,4501000
1986,MA,     Massachusetts,5832000
1986,MD,     Maryland,4463000
1986,ME,     Maine,1174000
1986,MI,     Michigan,9145000
1986,MN,     Minnesota,4214000
1986,MO,     Missouri,5066000
1986,MS,     Mississippi,2625000
1986,MT,     Montana,819000
1986,NC,     North Carolina,6331000
1986,ND,     North Dakota,679000
1986,NE,     Nebraska,1598000
1986,NH,     New Hampshire,1027000
1986,NJ,     New Jersey,7620000
1986,NM,     New Mexico,1479000
1986,NV,     Nevada,963000
1986,NY,     New York,17772000
1986,OH,     Ohio,10752000
1986,OK,     Oklahoma,3305000
1986,OR,     Oregon,2698000
1986,PA,     Pennsylvania,11889000
1986,RI,     Rhode Island,975000
1986,SC,     South Carolina,3378000
1986,SD,     South Dakota,708000
1986,TN,     Tennessee,4803000
1986,TX,     Texas,16682000
1986,UT,     Utah,1665000
1986,VA,     Virginia,5787000
1986,VT,     Vermont,541000
1986,WA,     Washington,4463000
1986,WI,     Wisconsin,4785000
1986,WV,     West Virginia,1919000
1986,WY,     Wyoming,507000
1987,AK,     Alaska,525000
1987,AL,     Alabama,4083000
1987,AR,     Arkansas,2388000
