ori,agency_name,state,population
KS02702,WILSON,KS,829
KS10300,WILSON,KS,4096
KS04407,WINCHESTER,KS,441
KS05705,WINDOM,KS,91
KS01802,WINFIELD,KS,11655
KS10400,WOODSON,KS,1804
KS10401,YATES CENTER,KS,1308
KY00100,ADAIR,KY,14670
KY07103,ADAIRVILLE,KY,890
KY02701,ALBANY,KY,1741
KY01907,ALEXANDRIA,KY,10934
KY00200,ALLEN,KY,17760
KY03605,ALLEN,KY,164
KY05605,ANCHORAGE,KY,2548
KY00300,ANDERSON,KY,12818
KY01001,ASHLAND,KY,20937
KY07102,AUBURN,KY,1696
KY05619,AUDUBON PARK,KY,1452
KY01201,AUGUSTA,KY,1102
KY00400,BALLARD,KY,7600
KY05653,BANCROFT,KY,517
KY06101,BARBOURVILLE,KY,3048
KY09001,BARDSTOWN,KY,14238
KY02001,BARDWELL,KY,708
KY00500,BARREN,KY,27978
KY00600,BATH,KY,11414
KY06501,BEATTYVILLE,KY,2114
KY09202,BEAVER DAM,KY,3535
KY00700,BELL,KY,12477
KY04510,BELLEFONTE,KY,876
KY01901,BELLEVUE,KY,5786
KY04806,BENHAM,KY,456
KY07901,BENTON,KY,4717
KY07601,BEREA,KY,16656
KY09002,BLOOMFIELD,KY,1003
KY00800,BOONE,KY,111845
KY09501,BOONEVILLE,KY,157
KY00900,BOURBON,KY,9418
KY11401,BOWLING GREEN,KY,80821
KY01000,BOYD,KY,24993
KY01100,BOYLE,KY,10772
KY01200,BRACKEN,KY,6748
KY08201,BRANDENBURG,KY,2992
KY01300,BREATHITT,KY,10513
KY01400,BRECKINRIDGE,KY,16358
KY10203,BRODHEAD,KY,1110
KY01202,BROOKSVILLE,KY,665
KY03101,BROWNSVILLE,KY,899
KY01500,BULLITT,KY,38931
KY08402,BURGIN,KY,1026
KY02901,BURKESVILLE,KY,1392
KY10002,BURNSIDE,KY,721
KY01600,BUTLER,KY,10089
KY09602,BUTLER,KY,637
KY11101,CADIZ,KY,2792
KY01700,CALDWELL,KY,6384
KY01800,CALLOWAY,KY,20536
KY07902,CALVERT CITY,KY,2517
KY01902,CAMPBELL COUNTY POL DEPT,KY,21369
KY05204,CAMPBELLSBURG,KY,872
KY10901,CAMPBELLSVILLE,KY,11919
KY04302,CANEYVILLE,KY,538
KY02000,CARLISLE,KY,4059
KY09101,CARLISLE,KY,2165
KY02100,CARROLL,KY,7204
KY02101,CARROLLTON,KY,3971
KY02200,CARTER,KY,20766
KY02300,CASEY,KY,13953
KY01002,CATLETTSBURG,KY,1715
KY00502,CAVE CITY,KY,2403
KY09204,CENTERTOWN,KY,418
KY08902,CENTRAL CITY,KY,5735
KY02400,CHRISTIAN,KY,30955
KY02500,CLARK,KY,18340
KY04303,CLARKSON,KY,974
KY02600,CLAY,KY,17995
KY11703,CLAY,KY,999
KY09902,CLAY CITY,KY,1173
KY02700,CLINTON,KY,7426
KY05301,CLINTON,KY,1171
KY01402,CLOVERPORT,KY,1150
KY09805,COAL RUN VILLAGE,KY,1580
KY01909,COLD SPRING,KY,6569
KY00101,COLUMBIA,KY,4650
KY11801,CORBIN,KY,6073
KY05901,COVINGTON,KY,41781
KY06903,CRAB ORCHARD,KY,761
KY02800,CRITTENDEN,KY,6106
KY02900,CUMBERLAND,KY,4700
KY04801,CUMBERLAND,KY,1752
KY04901,CYNTHIANA,KY,6612
KY01101,DANVILLE,KY,17623
KY03000,DAVIESS,KY,43894
KY05402,DAWSON SPRINGS,KY,2209
KY01903,DAYTON,KY,5903
KY04102,DRY RIDGE,KY,2217
KY07202,EDDYVILLE,KY,2332
KY05917,EDGEWOOD,KY,8547
KY03100,EDMONSON,KY,11854
KY08501,EDMONTON,KY,1712
KY04701,ELIZABETHTOWN,KY,35407
KY09802,ELKHORN CITY,KY,965
KY11001,ELKTON,KY,2402
KY03200,ELLIOTT,KY,7241
KY05902,ELSMERE,KY,9380
KY05202,EMINENCE,KY,2806
KY05903,ERLANGER,KY,20295
KY03300,ESTILL,KY,11135
KY10003,EUBANK,KY,295
KY04805,EVARTS,KY,591
KY09601,FALMOUTH,KY,2204
KY10005,FERGUSON,KY,866
KY04501,FLATWOODS,KY,7237
KY03500,FLEMING,KY,12694
KY06703,FLEMING-NEON,KY,538
KY03501,FLEMINGSBURG,KY,3015
KY00802,FLORENCE,KY,34194
KY03600,FLOYD,KY,28285
KY05913,FORT MITCHELL,KY,8781
KY01904,FORT THOMAS,KY,16790
KY05904,FORT WRIGHT,KY,6174
KY08603,FOUNTAIN RUN,KY,219
KY03701,FRANKFORT,KY,28610
KY03700,FRANKLIN,KY,24017
KY10701,FRANKLIN,KY,10605
KY03800,FULTON,KY,1714
KY03801,FULTON,KY,2246
KY03900,GALLATIN,KY,7074
KY04000,GARRARD,KY,14181
KY10501,GEORGETOWN,KY,41231
KY00501,GLASGOW,KY,15482
KY04100,GRANT,KY,19684
KY04200,GRAVES,KY,27111
KY02201,GRAYSON,KY,3670
KY04300,GRAYSON,KY,18774
KY04400,GREEN,KY,9393
KY04401,GREENSBURG,KY,2261
KY04500,GREENUP,KY,17535
KY04502,GREENUP,KY,1071
KY08901,GREENVILLE,KY,4322
KY11003,GUTHRIE,KY,1369
KY04600,HANCOCK,KY,6241
KY04700,HARDIN,KY,47318
KY01401,HARDINSBURG,KY,2511
KY04800,HARLAN,KY,18864
KY04802,HARLAN,KY,1796
KY04900,HARRISON,KY,13109
KY08401,HARRODSBURG,KY,9573
KY05000,HART,KY,16059
KY09201,HARTFORD,KY,2649
KY04601,HAWESVILLE,KY,1009
KY09701,HAZARD,KY,4706
KY05100,HENDERSON,KY,16373
KY05101,HENDERSON,KY,27655
KY05200,HENRY,KY,12640
KY05618,HERITAGE CREEK,KY,1249
KY03802,HICKMAN,KY,2263
KY05300,HICKMAN,KY,3187
KY01905,HIGHLAND HEIGHTS,KY,6210
KY01505,HILLVIEW,KY,9042
KY06201,HODGENVILLE,KY,3387
KY05400,HOPKINS,KY,23480
KY02401,HOPKINSVILLE,KY,30709
KY05001,HORSE CAVE,KY,2283
KY05664,HURSTBOURNE ACRES,KY,2017
KY06902,HUSTONVILLE,KY,398
KY06601,HYDEN,KY,274
KY05919,INDEPENDENCE,KY,30559
KY05644,INDIAN HILLS,KY,2945
KY03301,IRVINE,KY,2269
KY01403,IRVINGTON,KY,1390
KY01301,JACKSON,KY,2069
KY05500,JACKSON,KY,12617
KY10401,JAMESTOWN,KY,1891
KY05610,JEFFERSONTOWN,KY,29418
KY06702,JENKINS,KY,1724
KY05700,JESSAMINE,KY,16966
KY05800,JOHNSON,KY,17866
KY01102,JUNCTION CITY,KY,2336
KY05905,KENTON COUNTY POLICE DEP,KY,21816
KY06000,KNOTT,KY,12637
KY06100,KNOX,KY,24628
KY09301,LA GRANGE,KY,10663
KY05910,LAKESIDE PARK-CRSTVW HLS,KY,6218
KY04001,LANCASTER,KY,4129
KY06200,LARUE,KY,11797
KY06300,LAUREL,KY,55902
KY06400,LAWRENCE,KY,13195
KY00301,LAWRENCEBURG,KY,12306
KY07801,LEBANON,KY,6627
KY01502,LEBANON JUNCTION,KY,1835
KY06500,LEE,KY,5183
KY04301,LEITCHFIELD,KY,6925
KY06600,LESLIE,KY,9273
KY06700,LETCHER,KY,15955
KY06800,LEWIS,KY,11441
KY07104,LEWISBURG,KY,782
KY04602,LEWISPORT,KY,1736
KY03402,LEXINGTON,KY,330994
KY02301,LIBERTY,KY,1993
KY06900,LINCOLN,KY,20145
KY07000,LIVINGSTON,KY,8796
KY10201,LIVINGSTON,KY,165
KY07100,LOGAN,KY,17835
KY06301,LONDON,KY,7573
KY06401,LOUISA,KY,2472
KY05680,LOUISVILLE METRO,KY,691630
KY04803,LOYALL,KY,582
KY05907,LUDLOW,KY,4390
KY04804,LYNCH,KY,589
KY05650,LYNDON,KY,11276
KY07200,LYON,KY,6852
KY07600,MADISON,KY,43858
KY05401,MADISONVILLE,KY,19469
KY07700,MAGOFFIN,KY,9516
KY02601,MANCHESTER,KY,1412
KY02801,MARION,KY,2866
KY07800,MARION,KY,13278
KY07900,MARSHALL,KY,24495
KY03603,MARTIN,KY,470
KY08000,MARTIN,KY,10556
KY08100,MASON,KY,8226
KY04201,MAYFIELD,KY,9763
KY08101,MAYSVILLE,KY,8676
KY07300,MCCRACKEN,KY,40813
KY07400,MCCREARY,KY,16809
KY05501,MCKEE,KY,834
KY07500,MCLEAN,KY,9119
KY08200,MEADE,KY,26529
KY05623,MEADOW VALE,KY,739
KY08300,MENIFEE,KY,6389
KY08400,MERCER,KY,13124
KY08500,METCALFE,KY,8909
KY00701,MIDDLESBORO,KY,8791
KY05667,MIDDLETOWN,KY,9957
KY00902,MILLERSBURG,KY,733
KY08600,MONROE,KY,8674
KY08700,MONTGOMERY,KY,21323
KY11601,MONTICELLO,KY,5719
KY10301,MOREHEAD,KY,6701
KY08800,MORGAN,KY,11167
KY11301,MORGANFIELD,KY,3101
KY01601,MORGANTOWN,KY,2514
KY10101,MOUNT OLIVET,KY,378
KY08701,MOUNT STERLING,KY,7601
KY10202,MOUNT VERNON,KY,2458
KY01503,MOUNT WASHINGTON,KY,19052
KY08900,MUHLENBERG,KY,19558
KY08202,MULDRAUGH,KY,1010
KY05002,MUNFORDVILLE,KY,1730
KY01801,MURRAY,KY,18769
KY09000,NELSON,KY,33933
KY01906,NEWPORT,KY,13705
KY09100,NICHOLAS,KY,5705
KY05701,NICHOLASVILLE,KY,34067
KY05638,NORTHFIELD,KY,1018
KY02405,OAK GROVE,KY,7983
KY09200,OHIO,KY,17784
KY09304,OLDHAM COUNTY POLICE DEP,KY,58810
KY02202,OLIVE HILL,KY,1521
KY09400,OWEN,KY,9783
KY03001,OWENSBORO,KY,60774
KY09401,OWENTON,KY,1680
KY00601,OWINGSVILLE,KY,1589
KY09500,OWSLEY,KY,3744
KY07301,PADUCAH,KY,26608
KY05801,PAINTSVILLE,KY,4085
KY00901,PARIS,KY,10183
KY05906,PARK HILLS,KY,3196
KY02403,PEMBROKE,KY,894
KY09600,PENDLETON,KY,12045
KY09700,PERRY,KY,21627
KY01103,PERRYVILLE,KY,807
KY09303,PEWEE VALLEY,KY,1677
KY09800,PIKE,KY,44848
KY09801,PIKEVILLE,KY,7279
KY00702,PINEVILLE,KY,1544
KY01506,PIONEER VILLAGE,KY,2787
KY06002,PIPPA PASSES,KY,619
KY08904,POWDERLY,KY,787
KY09900,POWELL,KY,8553
KY03601,PRESTONSBURG,KY,3575
KY01701,PRINCETON,KY,6214
KY05645,PROSPECT,KY,4658
KY11702,PROVIDENCE,KY,2847
KY10000,PULASKI,KY,52209
KY04503,RACELAND,KY,2292
KY04702,RADCLIFF,KY,22628
KY03302,RAVENNA,KY,552
KY07602,RICHMOND,KY,40736
KY10100,ROBERTSON,KY,2056
KY10200,ROCKCASTLE,KY,12525
KY10300,ROWAN,KY,17950
KY04505,RUSSELL,KY,3614
KY10400,RUSSELL,KY,13846
KY10402,RUSSELL SPRINGS,KY,2828
KY07101,RUSSELLVILLE,KY,7492
KY10503,SADIEVILLE,KY,348
KY07701,SALYERSVILLE,KY,1478
KY10004,SCIENCE HILL,KY,662
KY10500,SCOTT,KY,20327
KY00201,SCOTTSVILLE,KY,4648
KY11704,SEBREE,KY,1520
KY10600,SHELBY,KY,29198
KY10601,SHELBYVILLE,KY,18227
KY01501,SHEPHERDSVILLE,KY,14991
KY05604,SHIVELY,KY,15904
KY10700,SIMPSON,KY,9918
KY10609,SIMPSONVILLE,KY,3151
KY11403,SMITHS GROVE,KY,848
KY10001,SOMERSET,KY,12493
KY04504,SOUTH SHORE,KY,1036
KY01908,SOUTHGATE,KY,3840
KY10800,SPENCER,KY,19822
KY11501,SPRINGFIELD,KY,2999
KY05603,ST. MATTHEWS,KY,17868
KY10502,STAMPING GROUND,KY,848
KY06901,STANFORD,KY,3716
KY09901,STANTON,KY,3153
KY05636,STRATHMOOR VILLAGE,KY,692
KY11302,STURGIS,KY,1634
KY10900,TAYLOR,KY,15084
KY05911,TAYLOR MILL,KY,7176
KY10801,TAYLORSVILLE,KY,1334
KY11000,TODD,KY,8765
KY08601,TOMPKINSVILLE,KY,2225
KY11004,TRENTON,KY,335
KY11100,TRIGG,KY,11881
KY11200,TRIMBLE,KY,8619
KY11300,UNION,KY,9071
KY11303,UNIONTOWN,KY,885
KY06801,VANCEBURG,KY,1374
KY12001,VERSAILLES,KY,27922
KY05912,VILLA HILLS,KY,7881
KY04703,VINE GROVE,KY,7016
KY11400,WARREN,KY,69263
KY03901,WARSAW,KY,1759
KY11500,WASHINGTON,KY,9322
KY03604,WAYLAND,KY,353
KY11600,WAYNE,KY,13921
KY11700,WEBSTER,KY,7440
KY05606,WEST BUECHEL,KY,1399
KY08801,WEST LIBERTY,KY,3272
KY04704,WEST POINT,KY,899
KY03602,WHEELWRIGHT,KY,1358
KY06701,WHITESBURG,KY,1592
KY11800,WHITLEY,KY,25942
KY01912,WILDER,KY,3071
KY11802,WILLIAMSBURG,KY,5334
KY04101,WILLIAMSTOWN,KY,3987
KY05702,WILMORE,KY,6336
KY02501,WINCHESTER,KY,19472
KY11900,WOLFE,KY,6314
KY11404,WOODBURN,KY,338
KY05614,WOODLAWN PARK,KY,961
KY04506,WORTHINGTON,KY,1441
LA05701,ABBEVILLE,LA,10837
LA05206,ABITA SPRINGS,LA,2784
LA00100,ACADIA,LA,34485
LA06103,ADDIS,LA,7739
LA04001,ALEXANDRIA,LA,42654
LA00200,ALLEN,LA,12818
LA05304,AMITE,LA,4103
LA00701,ARCADIA,LA,2542
LA04903,ARNAUDVILLE,LA,962
LA00300,ASCENSION,LA,121933
LA00400,ASSUMPTION,LA,19970
LA00500,AVOYELLES,LA,25982
LA01701,BAKER,LA,12074
LA05105,BALDWIN,LA,1645
LA04010,BALL,LA,3765
LA02001,BASILE,LA,1181
LA02104,BASKIN,LA,208
LA03401,BASTROP,LA,8758
LA01702,BATON ROUGE,LA,219587
LA00600,BEAUREGARD,LA,27031
LA00802,BENTON,LA,2111
LA05602,BERNICE,LA,1291
LA05101,BERWICK,LA,4435
LA00700,BIENVILLE,LA,12377
LA00708,BIENVILLE,LA,184
LA00904,BLANCHARD,LA,3329
LA05901,BOGALUSA,LA,10305
LA03403,BONITA,LA,158
LA00800,BOSSIER,LA,58889
LA00801,BOSSIER CITY,LA,63346
LA05001,BREAUX BRIDGE,LA,7608
LA02801,BROUSSARD,LA,15581
LA06102,BRUSLY,LA,2595
LA00501,BUNKIE,LA,3145
LA00900,CADDO,LA,45681
LA01000,CALCASIEU,LA,91876
LA01100,CALDWELL,LA,9405
LA01200,CAMERON,LA,4502
LA02802,CARENCRO,LA,13973
LA01300,CATAHOULA,LA,8202
LA01734,CENTRAL,LA,30312
LA02006,CHATAIGNIER,LA,259
LA04005,CHENEYVILLE,LA,436
LA00103,CHURCH POINT,LA,3997
LA01400,CLAIBORNE,LA,11616
LA03504,CLARENCE,LA,314
LA01503,CLAYTON,LA,537
LA01901,CLINTON,LA,1288
LA03404,COLLINSTON,LA,250
LA01500,CONCORDIA,LA,10922
LA00504,COTTONPORT,LA,1932
LA04101,COUSHATTA,LA,1614
LA05201,COVINGTON,LA,11716
LA00101,CROWLEY,LA,11103
LA06004,CULLEN,LA,670
LA01001,DE QUINCY,LA,2813
LA00601,DE RIDDER,LA,9006
LA01600,DE SOTO,LA,23074
LA05703,DELCAMBRE,LA,1197
LA04201,DELHI,LA,2512
LA03302,DELTA,LA,211
LA03201,DENHAM SPRINGS,LA,9325
LA06008,DIXIE INN,LA,274
LA00301,DONALDSONVILLE,LA,7005
LA03101,DUBACH,LA,901
LA02804,DUSON,LA,1175
LA01700,EAST BATON ROUGE,LA,172971
LA01800,EAST CARROLL,LA,3665
LA01900,EAST FELICIANA,LA,17250
LA02701,ELTON,LA,977
LA06202,EPPS,LA,334
LA05704,ERATH,LA,1940
LA04901,EUNICE,LA,8676
LA02000,EVANGELINE,LA,21498
LA00508,EVERGREEN,LA,206
LA05601,FARMERVILLE,LA,3356
LA01501,FERRIDAY,LA,2949
LA04307,FISHER,LA,187
LA04305,FLORIEN,LA,541
LA05207,FOLSOM,LA,843
LA02100,FRANKLIN,LA,19094
LA05102,FRANKLIN,LA,6191
LA05902,FRANKLINTON,LA,3581
LA03207,FRENCH SETTLEMENT,LA,1173
LA02204,GEORGETOWN,LA,274
LA00702,GIBSLAND,LA,739
LA04006,GLENMORA,LA,1021
LA02901,GOLDEN MEADOW,LA,1606
LA00302,GONZALES,LA,14258
LA03103,GRAMBLING,LA,5263
LA04702,GRAMERCY,LA,2672
LA02605,GRAND ISLE,LA,988
LA02200,GRANT,LA,22257
LA04601,GREENSBURG,LA,622
LA00910,GREENWOOD,LA,3075
LA02601,GRETNA,LA,17044
LA02404,GROSSE TETE,LA,535
LA05705,GUEYDAN,LA,1115
LA05301,HAMMOND,LA,24460
LA02602,HARAHAN,LA,8751
LA01303,HARRISONBURG,LA,258
LA00804,HAUGHTON,LA,4589
LA01401,HAYNESVILLE,LA,1878
LA06009,HEFLIN,LA,204
LA02504,HODGE,LA,368
LA01402,HOMER,LA,2523
LA05501,HOUMA,LA,31268
LA02300,IBERIA,LA,36430
LA02400,IBERVILLE,LA,14785
LA00908,IDA,LA,206
LA05305,INDEPENDENCE,LA,1657
LA00104,IOTA,LA,1245
LA01007,IOWA,LA,3087
LA01902,JACKSON,LA,3919
LA02500,JACKSON,LA,14853
LA02606,JEAN LAFITTE,LA,1817
LA02302,JEANERETTE,LA,4499
LA02600,JEFFERSON,LA,327213
LA02700,JEFFERSON DAVIS,LA,16497
LA03001,JENA,LA,4124
LA02702,JENNINGS,LA,9155
LA02501,JONESBORO,LA,4008
LA01301,JONESVILLE,LA,1526
LA05702,KAPLAN,LA,4123
LA02603,KENNER,LA,64250
LA05302,KENTWOOD,LA,2205
LA03208,KILLIAN,LA,1274
LA00201,KINDER,LA,2075
LA04908,KROTZ SPRINGS,LA,869
LA03000,LA SALLE,LA,9358
LA02800,LAFAYETTE,LA,77451
LA02803,LAFAYETTE,LA,122489
LA02900,LAFOURCHE,LA,78411
LA02703,LAKE ARTHUR,LA,2557
LA01002,LAKE CHARLES,LA,80280
LA01801,LAKE PROVIDENCE,LA,3156
LA04004,LECOMPTE,LA,818
LA05801,LEESVILLE,LA,5262
LA03100,LINCOLN,LA,20935
LA03200,LIVINGSTON,LA,138874
LA03202,LIVINGSTON,LA,2007
LA03903,LIVONIA,LA,1150
LA02903,LOCKPORT,LA,2318
LA02304,LOREAUVILLE,LA,647
LA04701,LUTCHER,LA,2826
LA03300,MADISON,LA,3420
LA02002,MAMOU,LA,2790
LA05203,MANDEVILLE,LA,13010
LA04203,MANGHAM,LA,603
LA01601,MANSFIELD,LA,4503
LA04301,MANY,LA,2448
LA02401,MARINGOUIN,LA,807
LA05604,MARION,LA,596
LA00502,MARKSVILLE,LA,4744
LA04013,MCNARY,LA,199
LA04907,MELVILLE,LA,736
LA00602,MERRYVILLE,LA,943
LA06001,MINDEN,LA,11034
LA03701,MONROE,LA,46376
LA02202,MONTGOMERY,LA,626
LA04602,MONTPELIER,LA,196
LA00506,MOREAUVILLE,LA,928
LA03400,MOREHOUSE,LA,14795
LA05103,MORGAN CITY,LA,10669
LA00401,NAPOLEONVILLE,LA,498
LA03500,NATCHITOCHES,LA,18950
LA03501,NATCHITOCHES,LA,16943
LA02303,NEW IBERIA,LA,26474
LA05802,NEW LLANO,LA,2029
LANPD00,NEW ORLEANS,LA,360272
LA03901,NEW ROADS,LA,4237
LA05401,NEWELLTON,LA,813
LA02503,NORTH HODGE,LA,289
LA01905,NORWOOD,LA,267
LA06201,OAK GROVE,LA,1330
LA03405,OAK RIDGE,LA,109
LA00202,OAKDALE,LA,6446
LA00203,OBERLIN,LA,1277
LA00903,OIL CITY,LA,859
LA03002,OLLA,LA,1293
LA04902,OPELOUSAS,LA,15031
LA03700,OUACHITA,LA,97012
LA04911,PALMETTO,LA,97
LA05003,PARKS,LA,630
LA05104,PATTERSON,LA,5543
LA05205,PEARL RIVER,LA,2675
LA04002,PINEVILLE,LA,13864
LA00803,PLAIN DEALING,LA,872
LA02402,PLAQUEMINE,LA,5927
LA03800,PLAQUEMINES,LA,22164
LA03900,POINTE COUPEE,LA,15547
LA02205,POLLOCK,LA,394
LA05303,PONCHATOULA,LA,7712
LA06101,PORT ALLEN,LA,5005
LA04906,PORT BARRE,LA,1737
LA03206,PORT VINCENT,LA,710
LA04000,RAPIDES,LA,63837
LA00102,RAYNE,LA,6920
LA04202,RAYVILLE,LA,3160
LA04100,RED RIVER,LA,5591
LA04200,RICHLAND,LA,16527
LA03705,RICHWOOD,LA,3792
LA00709,RINGGOLD,LA,1299
LA02405,ROSEDALE,LA,639
LA05306,ROSELAND,LA,895
LA05803,ROSEPINE,LA,1428
LA03102,RUSTON,LA,22374
LA04300,SABINE,LA,18636
LA02806,SCOTT,LA,9824
LA00901,SHREVEPORT,LA,171284
LA06007,SIBLEY,LA,1065
LA01302,SICILY ISLAND,LA,325
LA00503,SIMMESPORT,LA,1398
LA03105,SIMSBORO,LA,808
LA05202,SLIDELL,LA,28393
LA00303,SORRENTO,LA,1604
LA03205,SPRINGFIELD,LA,464
LA06002,SPRINGHILL,LA,4415
LA04400,ST. BERNARD,LA,45339
LA04500,ST. CHARLES,LA,50244
LA06301,ST. FRANCISVILLE,LA,1470
LA02406,ST. GABRIEL,LA,6964
LA04600,ST. HELENA,LA,10106
LA04700,ST. JAMES,LA,13503
LA04800,ST. JOHN THE BAPTIST,LA,39342
LA05403,ST. JOSEPH,LA,767
LA04900,ST. LANDRY,LA,52375
LA05000,ST. MARTIN,LA,38442
LA05002,ST. MARTINVILLE,LA,5190
LA05100,ST. MARY,LA,18076
LA05200,ST. TAMMANY,LA,226235
LA03703,STERLINGTON,LA,2721
LA01608,STONEWALL,LA,2611
LA01003,SULPHUR,LA,20277
LA04904,SUNSET,LA,3217
LA03301,TALLULAH,LA,5542
LA05300,TANGIPAHOA,LA,100704
LA05307,TANGIPAHOA,LA,456
LA05400,TENSAS,LA,3808
LA05500,TERREBONNE,LA,71999
LA02905,THIBODAUX,LA,15488
LA05308,TICKFAW,LA,689
LA05600,UNION,LA,15402
LA05700,VERMILION,LA,41328
LA05800,VERNON,LA,36325
LA01502,VIDALIA,LA,3864
LA02003,VILLE PLATTE,LA,6106
LA01004,VINTON,LA,3040
LA00902,VIVIAN,LA,2888
LA03203,WALKER,LA,6411
LA04905,WASHINGTON,LA,703
LA05900,WASHINGTON,LA,31460
LA05402,WATERPROOF,LA,500
LA06000,WEBSTER,LA,17359
LA02704,WELSH,LA,3261
LA06100,WEST BATON ROUGE,LA,13590
LA06200,WEST CARROLL,LA,7882
LA06300,WEST FELICIANA,LA,15237
LA03702,WEST MONROE,LA,12336
LA01005,WESTLAKE,LA,4683
LA02604,WESTWEGO,LA,8156
LA02403,WHITE CASTLE,LA,1588
LA01903,WILSON,LA,362
LA06400,WINN,LA,9482
LA06401,WINNFIELD,LA,3942
LA02101,WINNSBORO,LA,4544
LA02102,WISNER,LA,738
LA04007,WOODWORTH,LA,1751
LA02805,YOUNGSVILLE,LA,19873
LA01703,ZACHARY,LA,20597
LA04302,ZWOLLE,LA,1590
MA01201,ABINGTON,MA,17052
MA00901,ACTON,MA,24622
MA00301,ACUSHNET,MA,10708
MA00201,ADAMS,MA,7954
MA00701,AGAWAM,MA,28705
MA00501,AMESBURY,MA,17607
MA00801,AMHERST,MA,45764
MA00502,ANDOVER,MA,36920
MA00403,AQUINNAH,MA,453
MA00902,ARLINGTON,MA,47223
MA01401,ASHBURNHAM,MA,6559
MA00903,ASHBY,MA,3284
MA00601,ASHFIELD,MA,1685
MA00904,ASHLAND,MA,19485
MA01402,ATHOL,MA,12117
MA00302,ATTLEBORO,MA,47111
MA01403,AUBURN,MA,17394
MA01101,AVON,MA,4795
MA00905,AYER,MA,9125
MA00101,BARNSTABLE,MA,49944
MA01404,BARRE,MA,5643
MA00203,BECKET,MA,1920
MA00906,BEDFORD,MA,14988
MA00802,BELCHERTOWN,MA,15380
MA01102,BELLINGHAM,MA,18222
MA00907,BELMONT,MA,27425
MA00303,BERKLEY,MA,6904
MA01405,BERLIN,MA,3524
MA00602,BERNARDSTON,MA,2847
MA00503,BEVERLY,MA,43268
MA00908,BILLERICA,MA,43159
MA01406,BLACKSTONE,MA,9395
MA00702,BLANDFORD,MA,1206
MA01407,BOLTON,MA,5830
MA01301,BOSTON,MA,671262
MA00102,BOURNE,MA,20692
MA00909,BOXBOROUGH,MA,5569
MA00504,BOXFORD,MA,8348
MA01408,BOYLSTON,MA,5104
MA01103,BRAINTREE,MA,39044
MA00103,BREWSTER,MA,10453
MA01202,BRIDGEWATER,MA,29721
MA00703,BRIMFIELD,MA,3734
MA01203,BROCKTON,MA,105571
MA01409,BROOKFIELD,MA,3507
MA01104,BROOKLINE,MA,63981
MA00603,BUCKLAND,MA,1820
MA00910,BURLINGTON,MA,27159
MA00911,CAMBRIDGE,MA,121634
MA01105,CANTON,MA,25290
MA00912,CARLISLE,MA,5324
MA01204,CARVER,MA,11831
MA00604,CHARLEMONT,MA,1177
MA01410,CHARLTON,MA,13647
MA00104,CHATHAM,MA,6723
MA00913,CHELMSFORD,MA,37003
MA01303,CHELSEA,MA,40069
MA00204,CHESHIRE,MA,3174
MA00704,CHESTER,MA,1217
MA00803,CHESTERFIELD,MA,1171
MA00705,CHICOPEE,MA,55222
MA00401,CHILMARK,MA,1258
MA00205,CLARKSBURG,MA,1632
MA01411,CLINTON,MA,15781
MA01106,COHASSET,MA,8548
MA00605,COLRAIN,MA,1653
MA00914,CONCORD,MA,17979
MA00606,CONWAY,MA,1751
MA00804,CUMMINGTON,MA,817
MA00206,DALTON,MA,6167
MA00505,DANVERS,MA,28648
MA00304,DARTMOUTH,MA,34759
MA01107,DEDHAM,MA,25484
MA00607,DEERFIELD,MA,5198
MA00105,DENNIS,MA,14870
MA00305,DIGHTON,MA,8291
MA01412,DOUGLAS,MA,9544
MA01108,DOVER,MA,6077
MA00915,DRACUT,MA,32999
MA01413,DUDLEY,MA,11971
MA00916,DUNSTABLE,MA,3526
MA01205,DUXBURY,MA,16407
MA01206,EAST BRIDGEWATER,MA,14502
MA01414,EAST BROOKFIELD,MA,2235
MA00706,EAST LONGMEADOW,MA,16499
MA00106,EASTHAM,MA,5829
MA00805,EASTHAMPTON,MA,16018
MA00306,EASTON,MA,25625
MA00402,EDGARTOWN,MA,5370
MA00207,EGREMONT,MA,1376
MA00608,ERVING,MA,1662
MA00506,ESSEX,MA,3771
MA00917,EVERETT,MA,52437
MA00307,FAIRHAVEN,MA,15986
MA00308,FALL RIVER,MA,94628
MA00107,FALMOUTH,MA,33315
MA01415,FITCHBURG,MA,42153
MA01109,FOXBOROUGH,MA,18788
MA00918,FRAMINGHAM,MA,73485
MA01110,FRANKLIN,MA,34015
MA00309,FREETOWN,MA,9400
MA01416,GARDNER,MA,21365
MA00507,GEORGETOWN,MA,8558
MA00609,GILL,MA,1555
MA00508,GLOUCESTER,MA,30595
MA00806,GOSHEN,MA,938
MA01417,GRAFTON,MA,20477
MA00807,GRANBY,MA,6055
MA00707,GRANVILLE,MA,1537
MA00209,GREAT BARRINGTON,MA,7263
MA00610,GREENFIELD,MA,17457
MA00919,GROTON,MA,11615
MA00509,GROVELAND,MA,6856
MA00808,HADLEY,MA,5276
MA01207,HALIFAX,MA,7775
MA00510,HAMILTON,MA,7677
MA00708,HAMPDEN,MA,4953
MA01208,HANOVER,MA,14863
MA01209,HANSON,MA,10712
MA01418,HARDWICK,MA,2730
MA01419,HARVARD,MA,7025
MA00108,HARWICH,MA,13632
MA00809,HATFIELD,MA,3317
MA00511,HAVERHILL,MA,68267
